hash_scheme,variant,m,k,load_factor,n,insert_throughput_eps,query_throughput_eps,fpr,insert_energy_mj,query_energy_mj
murmur3,pim-v2,67108864,3,0.2500,16777216,19079262585.82,27487770991.16,0.149699,3.6122,1.5234
murmur3,pim-v2,67108864,5,0.0625,4194304,4769810222.17,6871954006.79,0.003008,3.6122,1.5234
murmur3,pim-v2,67108864,5,0.1250,8388608,9539620444.33,13743908013.58,0.025227,3.6122,1.5234
murmur3,pim-v2,67108864,5,0.2500,16777216,19079262585.82,27487770991.17,0.189449,3.6122,1.5234
murmur3,pim-v2,67108864,7,0.0625,4194304,4769815646.45,6871942747.79,0.002677,3.6122,1.5234
murmur3,pim-v2,67108864,7,0.1250,8388608,9539620444.33,13743908013.59,0.027904,3.6122,1.5234
murmur3,pim-v2,67108864,7,0.2500,16777216,19079240888.66,27487816027.17,0.268098,3.6122,1.5234
murmur3,pim-v3,1048576,3,0.0625,65536,4769723435.24,6872483221.46,0.005203,0.0564,0.0238
murmur3,pim-v3,1048576,3,0.1250,131072,9539446870.44,13744966443.00,0.030746,0.0564,0.0238
murmur3,pim-v3,1048576,3,0.2500,262144,19080282407.71,27487050435.24,0.147015,0.0564,0.0238
murmur3,pim-v3,1048576,5,0.0625,65536,4770070601.95,6871762608.77,0.001328,0.0564,0.0238
murmur3,pim-v3,1048576,5,0.1250,131072,9540141203.85,13743525217.62,0.022095,0.0564,0.0238
murmur3,pim-v3,1048576,5,0.2500,262144,19080282407.71,27487050435.24,0.185848,0.0564,0.0238
murmur3,pim-v3,1048576,7,0.0625,65536,4770070601.95,6871762608.77,0.000519,0.0564,0.0238
murmur3,pim-v3,1048576,7,0.1250,131072,9540141203.85,13743525217.62,0.023026,0.0564,0.0238
murmur3,pim-v3,1048576,7,0.2500,262144,19080282407.71,27487050435.24,0.263954,0.0564,0.0238
murmur3,pim-v3,8388608,3,0.0625,524288,4769810222.17,6871942747.79,0.005144,0.4515,0.1904
murmur3,pim-v3,8388608,3,0.1250,1048576,9539707233.64,13743885495.58,0.030930,0.4515,0.1904
murmur3,pim-v3,8388608,3,0.2500,2097152,19079240888.66,27487770991.18,0.147609,0.4515,0.1904
murmur3,pim-v3,8388608,5,0.0625,524288,4769810222.17,6871942747.79,0.001577,0.4515,0.1904
murmur3,pim-v3,8388608,5,0.1250,1048576,9539620444.33,13743885495.58,0.021894,0.4515,0.1904
