source,variant,hash_scheme,m,k,n,num_query,empirical_fpr,theoretical_fpr,no_false_negatives,insert_ms,query_ms,insert_energy_mj,query_energy_mj,insert_eps,query_eps
bloom-cpp,cpu,murmur3,8192,3,2000,2000,0.134500,0.140006,PASS,0.0426,0.0570,0.0000,0.0000,46928527.85,35086488.19
bloom-cpp,pim-v2,murmur3,8192,3,2000,2000,0.134500,0.140006,PASS,0.0002,0.0001,0.0013,0.0002,8130081300.81,27027027027.02
bloom-cpp,pim-v3,murmur3,8192,3,2000,2000,0.134500,0.140006,PASS,0.0002,0.0001,0.0013,0.0002,8163265306.12,26666666666.67
bloom-cpp,pim-v4,murmur3,8192,3,2000,2000,0.134500,0.140006,PASS,0.0002,0.0000,0.0011,0.0000,11695906432.75,0.00
bloom-cpp,cpu,xor-shift,8192,3,2000,2000,0.293000,0.140006,PASS,0.0413,0.0554,0.0000,0.0000,48429668.01,36091311.02
bloom-cpp,pim-v2,xor-shift,8192,3,2000,2000,0.293000,0.140006,PASS,0.0002,0.0001,0.0013,0.0002,8163265306.12,26666666666.67
bloom-cpp,pim-v3,xor-shift,8192,3,2000,2000,0.293000,0.140006,PASS,0.0048,0.0047,0.0297,0.0286,414078674.95,429184549.36
bloom-cpp,pim-v4,xor-shift,8192,3,2000,2000,0.293000,0.140006,PASS,0.0042,0.0040,0.0281,0.0270,479156684.24,499625281.04
bloom-cpp,cpu,h3,8192,3,2000,2000,0.132000,0.140006,PASS,0.0350,0.0301,0.0000,0.0000,57062968.99,66542454.09
bloom-cpp,pim-v2,h3,8192,3,2000,2000,0.132000,0.140006,PASS,0.0002,0.0001,0.0013,0.0002,8130081300.81,27027027027.02
bloom-cpp,pim-v3,h3,8192,3,2000,2000,0.132000,0.140006,PASS,0.0002,0.0001,0.0013,0.0002,8130081300.81,27027027027.02
bloom-cpp,pim-v4,h3,8192,3,2000,2000,0.132000,0.140006,PASS,0.0002,0.0000,0.0011,0.0000,11695906432.75,0.00
bloom-cpp,cpu,five-cycle,8192,3,2000,2000,0.148000,0.140006,PASS,0.0151,0.0207,0.0000,0.0000,132178970.33,96445966.15
bloom-cpp,pim-v2,five-cycle,8192,3,2000,2000,0.148000,0.140006,PASS,0.0002,0.0001,0.0013,0.0002,8130081300.81,27027027027.02
bloom-cpp,pim-v3,five-cycle,8192,3,2000,2000,0.148000,0.140006,PASS,0.0049,0.0048,0.0304,0.0292,404940271.31,419551080.34
bloom-cpp,pim-v4,five-cycle,8192,3,2000,2000,0.148000,0.140006,PASS,0.0043,0.0041,0.0287,0.0276,467071461.93,486499635.13
bloom-cpp,cpu,multiplicative,8192,3,4000,4000,0.466750,0.454554,PASS,0.0184,0.0284,0.0000,0.0000,217485863.42,140805406.93
bloom-cpp,pim-v2,multiplicative,8192,3,4000,4000,0.466750,0.454554,PASS,0.0002,0.0001,0.0013,0.0002,16326530612.25,53333333333.34
bloom-cpp,pim-v3,multiplicative,8192,3,4000,4000,0.466750,0.454554,PASS,0.0024,0.0022,0.0122,0.0110,1659751037.34,1785714285.71
bloom-cpp,pim-v4,multiplicative,8192,3,4000,4000,0.466750,0.454554,PASS,0.0012,0.0010,0.0091,0.0079,3412969283.28,3996003996.00
bloom-cpp,cpu,kirsch-mitz,8192,3,4000,4000,0.468750,0.454554,PASS,0.0186,0.0302,0.0000,0.0000,214753570.28,132266384.50
bloom-cpp,pim-v2,kirsch-mitz,8192,3,4000,4000,0.468750,0.454554,PASS,0.0002,0.0001,0.0013,0.0002,16326530612.24,53333333333.34
bloom-cpp,pim-v3,kirsch-mitz,8192,3,4000,4000,0.468750,0.454554,PASS,0.0037,0.0036,0.0227,0.0216,1068090787.72,1118881118.88
bloom-cpp,pim-v4,kirsch-mitz,8192,3,4000,4000,0.468750,0.454554,PASS,0.0025,0.0023,0.0196,0.0185,1595532508.97,1712328767.12
bloom-cpp,cpu,murmur3,8192,3,4000,4000,0.466250,0.454554,PASS,0.0853,0.1126,0.0000,0.0000,46904315.20,35536602.70
bloom-cpp,pim-v2,murmur3,8192,3,4000,4000,0.466250,0.454554,PASS,0.0002,0.0001,0.0013,0.0002,16326530612.25,53333333333.30
bloom-cpp,pim-v3,murmur3,8192,3,4000,4000,0.466250,0.454554,PASS,0.0002,0.0001,0.0013,0.0002,16326530612.24,53333333333.34
bloom-cpp,pim-v4,murmur3,8192,3,4000,4000,0.466250,0.454554,PASS,0.0002,0.0000,0.0011,0.0000,23391812865.50,0.00
bloom-cpp,cpu,xor-shift,8192,3,4000,4000,0.612750,0.454554,PASS,0.0825,0.1094,0.0000,0.0000,48475447.19,36569088.15
bloom-cpp,pim-v2,xor-shift,8192,3,4000,4000,0.612750,0.454554,PASS,0.0002,0.0001,0.0013,0.0002,16326530612.25,53333333333.34
